id,text,coding,sentiment
"""1465718714444263426""",GMA Calls for Increased Covid-19Vaccination https://t.co/9ppILRVJet,,
"""1465718719234121733""",Yesterday I got my Covid booster. Fuck the 20 antivaxers who told me not to before my appointment today. Let me look like a Simpsons Fishy.,,
"""1465718717782773760""","If anyone thinks market is falling because of new covid virus, he needs to still learn a lot",,
"""1465718721343893510""",Is watching the 1984 Ghostbusters movie killing people? A Statistician's Perspective https://t.co/riEtcm4Wia,,
"""1465718719678541829""",Why coronavirus new name select 'Omicron' it's sound like our god mahadev  ' icron'.Please look into this @narendramodi @mansukhmandviya @WHO @ANI @PMOIndia,,
"""1465718720932818956""",@sajidjavid @BorisJohnson Im way overdue my booster but cant get a suitable vaccine  Allergic to Pfizer but Moderna &amp; AstraZeneca not available to me ,,
"""1465718724753829894""",MPs back new Covid mask wearing regulations - but 23 vote against https://t.co/rIpUG6X6Bq,,
"""1465718720077180928""",The new covid 19 variant be like slowww down! I just wanna get to know you! https://t.co/xQSjgm6Ey2,,
"""1465718726498701327""","Whats up with the Bruins? DeBrusk asking for a trade and now Cassidy in COVID protocol. Lets face it though,DeBrusk is not coming out of this slump and maybe a new scenery will do him good? If not, then he may be another team bouncer",,
"""1465718725894672388""",got tested for covid came out negative https://t.co/QV4gHOjO9s,,
"""1465718724711825415""","Omicron shows one more time how incompetent Governments handle the situation. If you have Covid, you need to quarantine yourself. If a country has a new Covid, they dont quarantine. The others put travel restrictions. This is the wrong way. The country needs to close their trave",,
"""1465718726884483076""",Need a phlebotomy?Excellent Phlebotomy Lab Services is the route to go!!#Doctor #Health #sick #Blood #COVIDVaccination #CovidVaccine #DiabetesAwarenessMonth #COVID19 #phleb #eplab,,
"""1465718723910811651""",Biggest flex of the day dad went outside for first time since JULY!!  Fighting his battle of Covid Pneumonia his man is literally inspiration a true warrior keep fighting dad!#COVID19 #ICU #Recovery https://t.co/8b66KgTgjB,,
"""1465718730436927497""","The only thing I want for Christmas is for all variants of Covid to go away so we all can get out of this pandemic. My God is big enough to have this happen. My God is so great, so strong and mighty, there's nothing my God cannot do",,
"""1465718729153466370""",Why some Airbnb hosts refuse refunds during COVID https://t.co/AfBThQyrs6,,
